customer_id,customer_unique_id,customer_zip_code,customer_city,customer_state
64fcc24bf12f5b16c914dadfe547665b,4796d2d1f7f723558d49471d27a03fba,36884,muriae,MG
ae24e9df81fa7464e1090fdef14d72a3,b2b114ecefe93aa93d0f2bdd14ac8f84,44053,feira de santana,BA
3ea9d5100acf2b7ffe45e68b545c36e6,3da285f344b116692496c69681f04648,82530,curitiba,PR
73201c44d687e91c32b5bd082b7411bf,b843a6968c2c71e37a5782e3db985ca7,6184,osasco,SP
ca1c2984224e3f04029a134d9a5d95c4,0e34a60534391f19af7e10f1c8ac28d4,86200,ibipora,PR
0e896e4e843f99d1fa8220549ce4024f,f17619a8db648adb2dd504e94873839a,51190,recife,PE
a6468b1856e4a74b6c786117e626749f,93294dc7b6fa1da27bc28d1a8db5e8a4,62015,sobral,CE
18ad953cb2e41768f9d27a594bde4efa,11a3148cf0bc61a3fa3f4b46a79825a1,85465,espigao alto do iguacu,PR
f8c3c173f3aebb9dc59a19669b25dddc,71b9eef1ec1e4ea4eb8f5db6307156f0,11680,ubatuba,SP
23301bca57eda7af3e47546760d9e869,3e6bc4180ba32d44f8278f211e2231f7,12246,sao jose dos campos,SP
1a8a24b6904f80d445faf68aaa56ce35,e105dec92cee6465244879914c792707,88802,criciuma,SC
154b550a221177b362f085100e0ea1a4,adff41dbe0d40058d786df6675faba6a,65901,imperatriz,MA
0e40e144fff28a4a3ecb37bb48f201aa,6ba32efcb359d12143b1bf24b7592c81,2808,sao paulo,SP
44d63d6f7f4bb07074143c02809dbe89,51dfe948f75a00cf916f00a0a38a6551,24425,sao goncalo,RJ
751e579ed6c435ddbe018ccc5b68e13d,e4bbcc533fdf3917c56dea2c43bf2084,25780,sao jose do vale do rio preto,RJ
0cb626f6bb027482159790ab08643c1b,c6b2c164bd41abc73502efd29be542cd,55590,ipojuca,PE
5816fca433ad77009526448784035891,86b59358310b208f822e416e59c96672,25953,teresopolis,RJ
2dbef7c4fd8693011193adc8ae646272,9c8c4083662be572f6bb390ae17ebd9e,5011,sao paulo,SP
c91b4e8ba054b6bd242bb17bcf7913bb,90aca9bc627fecf7f80ad801a9008640,40286,salvador,BA
864ac617f28e226558e823780f171c9f,a1aad80f12918aa399ec076ed078e5d9,48410,cicero dantas,BA
e2739b85af8403921b2b1bb2e99325df,3949a019223422cf30a6be3fc82f7982,1140,sao paulo,SP
9809326653e1008fc1612f14d9b35970,85175e946e3b353b627e3d9acd756321,22245,rio de janeiro,RJ
7ae53acddb48d2370fb26d3a244a0d6a,b2c5a0a208a7fec3a2c54e579a639878,6243,osasco,SP
1a56026e25c55e895a50fc6927743c1a,97808a155820eb5b9594f0a836a589ef,13054,campinas,SP
6877b5e3cdd8a9efac00e34fcaa4e02e,8efe2ca61964c32fcd3d794ba929c10d,13212,jundiai,SP
bbc80c2bb8e51eb04dd93254733e34ae,4bc066994a7f1cb1239d0e32658e368a,4560,sao paulo,SP
235dbacd9cbfaee70bf092cecac8b62d,1719cd1699c1b883aafc331361db0c02,98130,julio de castilhos,RS
d7aa0f10fc74a9cb305ff3bac2391730,d197dd441f26cafde02f0304d3966f30,78280,mirassol d'oeste,MT
6040f79d4f8a94363472308fc67ec011,e90ca1e5b63f2408745812944196f43d,7073,guarulhos,SP
